KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ia.1.I	p_Ib.1	p_Ia.4.II	p_Ia.4.RS39	p_Ia.4.1483	p_Ia.3.V	p_Ia.3.IV	p_Ia.3.III	p_Ia.3.I	p_Ia.3.II	p_Ia.3.VI	N_Ia.1.I	N_Ib.1	N_Ia.4.II	N_Ia.4.RS39	N_Ia.4.1483	N_Ia.3.V	N_Ia.3.IV	N_Ia.3.III	N_Ia.3.I	N_Ia.3.II	N_Ia.3.VI
uroporphyrinogen-III synthase [EC:4.2.1.75]	0	1	1	NA	K01719	GC_00000700	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
modulator of FtsH protease HflK	0	1	1	NA	K04088	GC_00000340	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
molecular chaperone DnaJ	0	1	1	NA	K03686	GC_00000133	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L17	0	1	1	NA	K02879	GC_00000334	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	0	1	1	NA	K00919	GC_00000895, GC_00003608	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
Fur family transcriptional regulator, zinc uptake regulator	0	1	1	NA	K09823	GC_00001127, GC_00001437	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
gamma-carbonic anhydrase [EC:4.2.1.-]	0	1	1	NA	K01726	GC_00000641	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
D-glycerate 3-kinase [EC:2.7.1.31]	0	1	1	NA	K15918	GC_00000042	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
histidinol-phosphate aminotransferase [EC:2.6.1.9]	0	1	1	NA	K00817	GC_00000607	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	0	1	1	NA	K01652	GC_00000754, GC_00001342, GC_00004930, GC_00005155, GC_00005172, GC_00005901, GC_00006083, GC_00006201, GC_00006321, GC_00006415, GC_00007100	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
electron transfer flavoprotein beta subunit	0	1	1	NA	K03521	GC_00000473	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	0	1	1	NA	K00566	GC_00000691	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]	0	1	1	NA	K21817	GC_00000586, GC_00004011	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	0	1	1	NA	K02527	GC_00001144, GC_00001557, GC_00001629, GC_00003535	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
branched chain amino acid efflux pump	0	1	1	NA	K26606	GC_00000246, GC_00000290, GC_00000964, GC_00000975	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
amidophosphoribosyltransferase [EC:2.4.2.14]	0	1	1	NA	K00764	GC_00000734	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
F-type H+-transporting ATPase subunit a	0	1	1	NA	K02108	GC_00000176	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
GTP-binding protein LepA	0	1	1	NA	K03596	GC_00000110	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
putative pre-16S rRNA nuclease [EC:3.1.-.-]	0	1	1	NA	K07447	GC_00000415	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L15	0	1	1	NA	K02876	GC_00000208	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glutamate 5-kinase [EC:2.7.2.11]	0	1	1	NA	K00931	GC_00000323	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	0	1	1	NA	K00788	GC_00000605	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
thiazole synthase [EC:2.8.1.10]	0	1	1	NA	K03149	GC_00000349	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ubiquinone biosynthesis protein	0	1	1	NA	K03688	GC_00000418	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ketol-acid reductoisomerase [EC:1.1.1.86]	0	1	1	NA	K00053	GC_00000190, GC_00003846	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
chaperonin GroES	0	1	1	NA	K04078	GC_00000241	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ribonuclease HI [EC:3.1.26.4]	0	1	1	NA	K03469	GC_00000417	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
signal recognition particle subunit SRP54 [EC:3.6.5.4]	0	1	1	NA	K03106	GC_00000230	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L23	0	1	1	NA	K02892	GC_00000157	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
diaminopimelate decarboxylase [EC:4.1.1.20]	0	1	1	NA	K01586	GC_00000759, GC_00003128	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glutamine synthetase [EC:6.3.1.2]	0	1	1	NA	K01915	GC_00000304, GC_00000934, GC_00002288	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0	1	1	NA	K00099	GC_00000684, GC_00003050	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
excinuclease ABC subunit C	0	1	1	NA	K03703	GC_00000485	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]	0	1	1	NA	K14652	GC_00000539	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
putative spermidine/putrescine transport system ATP-binding protein	0	1	1	NA	K02052	GC_00000305	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]	0	1	1	NA	K11209	GC_00000048	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	0	1	1	NA	K02000	GC_00000938, GC_00001102, GC_00001158, GC_00002256	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]	0	1	1	NA	K06287	GC_00000701	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L2	0	1	1	NA	K02886	GC_00000183	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
thymidylate synthase (FAD) [EC:2.1.1.148]	0	1	1	NA	K03465	GC_00000450	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
thioredoxin 1	0	1	1	NA	K03671	GC_00000892, GC_00003316	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
small multidrug resistance pump	0	1	1	NA	K03297	GC_00000036, GC_00000896, GC_00001096, GC_00002826	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	0	1	1	NA	K03216	GC_00000379	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
elongation factor G	0	1	1	NA	K02355	GC_00000362	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
adenine phosphoribosyltransferase [EC:2.4.2.7]	0	1	1	NA	K00759	GC_00000086	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	0	1	1	NA	K00971	GC_00000703	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	0	1	1	NA	K00330	GC_00000186	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	0	1	1	NA	K00969	GC_00000775	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA polymerase V	0	1	1	NA	K03502	GC_00000025	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
arginyl-tRNA synthetase [EC:6.1.1.19]	0	1	1	NA	K01887	GC_00000614	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
signal peptidase II [EC:3.4.23.36]	0	1	1	NA	K03101	GC_00001088, GC_00001733, GC_00001966, GC_00002479, GC_00004727, GC_00006662	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ATP synthase protein I	0	1	1	NA	K02116	GC_00000232	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	0	1	1	NA	K13292	GC_00000058	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	0	1	1	NA	K08218	GC_00000771	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	0	1	1	NA	K00340	GC_00000160	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
cobaltochelatase CobS [EC:6.6.1.2]	0	1	1	NA	K09882	GC_00000465	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
threonine synthase [EC:4.2.3.1]	0	1	1	NA	K01733	GC_00000779	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]	0	1	1	NA	K01772	GC_00001061, GC_00001574, GC_00004394	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ATP-binding protein involved in chromosome partitioning	0	1	1	NA	K03593	GC_00000729	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
elongation factor P	0	1	1	NA	K02356	GC_00000420	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	0	1	1	NA	K19745	GC_00000532, GC_00005256, GC_00007185	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	0	1	1	NA	K00208	GC_00000444	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
tRNA uridine 5-carboxymethylaminomethyl modification enzyme	0	1	1	NA	K03495	GC_00000690	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
pyridoxine 5-phosphate synthase [EC:2.6.99.2]	0	1	1	NA	K03474	GC_00000381	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	1	1	NA	K00020	GC_00000738, GC_00001068, GC_00001147, GC_00001164, GC_00001365, GC_00001604, GC_00006064	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	0	1	1	NA	K01633	GC_00000317	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
porphobilinogen synthase [EC:4.2.1.24]	0	1	1	NA	K01698	GC_00000795	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
isochorismate pyruvate lyase [EC:4.2.99.21]	0	1	1	NA	K04782	GC_00000229	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
outer membrane lipoprotein carrier protein	0	1	1	NA	K03634	GC_00000986, GC_00002144, GC_00003897	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
aspartate aminotransferase [EC:2.6.1.1]	0	1	1	NA	K00812	GC_00000423, GC_00000501	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
lipoyl(octanoyl) transferase [EC:2.3.1.181]	0	1	1	NA	K03801	GC_00000697	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
endonuclease III [EC:3.2.2.- 4.2.99.18]	0	1	1	NA	K10773	GC_00000049	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
diaminopropionate ammonia-lyase [EC:4.3.1.15]	0	1	1	NA	K01751	GC_00000096	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
segregation and condensation protein B	0	1	1	NA	K06024	GC_00000399	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
transcription termination/antitermination protein NusG	0	1	1	NA	K02601	GC_00000164	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ferredoxin	0	1	1	NA	K05524	GC_00000159, GC_00002859	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glycine betaine/proline transport system permease protein	0	1	1	NA	K02001	GC_00000943, GC_00001099, GC_00001173, GC_00002290, GC_00002432	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
integration host factor subunit alpha	0	1	1	NA	K04764	GC_00000348	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
lipoprotein-releasing system permease protein	0	1	1	NA	K09808	GC_00000540	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	0	1	1	NA	K13038	GC_00000772	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
Fe-S cluster assembly protein SufD	0	1	1	NA	K09015	GC_00001131, GC_00001449, GC_00007079	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphate butyryltransferase [EC:2.3.1.19]	0	1	1	NA	K00634	GC_00000512	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
methionyl-tRNA synthetase [EC:6.1.1.10]	0	1	1	NA	K01874	GC_00000639	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	0	1	1	NA	K00979	GC_00000551, GC_00002418, GC_00002769, GC_00003446, GC_00003721, GC_00004199, GC_00004494, GC_00005493, GC_00006290, GC_00006908, GC_00006925	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
type III pantothenate kinase [EC:2.7.1.33]	0	1	1	NA	K03525	GC_00000128	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA polymerase III subunit delta [EC:2.7.7.7]	0	1	1	NA	K02340	GC_00001126, GC_00001902, GC_00002483, GC_00002740, GC_00002857, GC_00003084, GC_00003802, GC_00004179, GC_00004411, GC_00006503, GC_00007199, GC_00007397	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9	0	1	1	NA	K03953	GC_00000555	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
modification methylase [EC:2.1.1.72]	0	1	1	NA	K13581	GC_00000320	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
cytochrome c-type biogenesis protein CcmH	0	1	1	NA	K02200	GC_00000608	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]	0	1	1	NA	K06167	GC_00000742	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
CMP/dCMP kinase [EC:2.7.4.25]	0	1	1	NA	K00945	GC_00001030, GC_00001676, GC_00003644	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
sec-independent protein translocase protein TatB	0	1	1	NA	K03117	GC_00000206	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ParB family transcriptional regulator, chromosome partitioning protein	0	1	1	NA	K03497	GC_00000491	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
heme a synthase [EC:1.17.99.9]	0	1	1	NA	K02259	GC_00001073, GC_00001514	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	0	1	1	NA	K01963	GC_00000823, GC_00006307	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
two-component system, OmpR family, response regulator ChvI	0	1	1	NA	K14981	GC_00000272	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L32	0	1	1	NA	K02911	GC_00000152	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	0	1	1	NA	K08744	GC_00000214	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
(2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]	0	1	1	NA	K16846	GC_00000298	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	0	1	1	NA	K02434	GC_00000653	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
O-acetylserine/cysteine efflux transporter	0	1	1	NA	K15268	GC_00000675, GC_00001167, GC_00001454	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	0	1	1	NA	K00997	GC_00000367	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	0	1	1	NA	K00620	GC_00000732	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	0	1	1	NA	K11717	GC_00000341	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
L-lysine exporter family protein LysE/ArgO	0	1	1	NA	K06895	GC_00000482	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phospholipid-binding lipoprotein MlaA	0	1	1	NA	K04754	GC_00000536	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
acyl-CoA thioester hydrolase [EC:3.1.2.-]	0	1	1	NA	K07107	GC_00000531, GC_00000969	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
TatD DNase family protein [EC:3.1.21.-]	0	1	1	NA	K03424	GC_00000577	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
acetylornithine deacetylase [EC:3.5.1.16]	0	1	1	NA	K01438	GC_00000663, GC_00002856	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA polymerase III subunit alpha [EC:2.7.7.7]	0	1	1	NA	K02337	GC_00000735	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
lycopene beta-cyclase [EC:5.5.1.19]	0	1	1	NA	K06443	GC_00000721	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ribosome recycling factor	0	1	1	NA	K02838	GC_00000718	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L6	0	1	1	NA	K02933	GC_00000174	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	0	1	1	NA	K03466	GC_00000499	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	0	1	1	NA	K07304	GC_00000736, GC_00001679	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
intracellular septation protein	0	1	1	NA	K06190	GC_00000248	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	0	1	1	NA	K03046	GC_00000412	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	0	1	1	NA	K01740	GC_00000575, GC_00003400	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
translation initiation factor IF-3	0	1	1	NA	K02520	GC_00000169	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
aspartate racemase [EC:5.1.1.13]	0	1	1	NA	K01779	GC_00000688	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	0	1	1	NA	K00343	GC_00000665	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
adenosine kinase [EC:2.7.1.20]	0	1	1	NA	K00856	GC_00000107	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
branched-chain amino acid transport system permease protein	0	1	1	NA	K01998	GC_00000352, GC_00000408, GC_00000957, GC_00000966, GC_00001330, GC_00001335, GC_00002789, GC_00002838	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	0	1	1	NA	K03501	GC_00000909, GC_00003942	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
sec-independent protein translocase protein TatA	0	1	1	NA	K03116	GC_00000165	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
quinolinate synthase [EC:2.5.1.72]	0	1	1	NA	K03517	GC_00000113	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
ribose 5-phosphate isomerase B [EC:5.3.1.6]	0	1	1	NA	K01808	GC_00000261	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	0	1	1	NA	K11352	GC_00000326	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glutathione synthase [EC:6.3.2.3]	0	1	1	NA	K01920	GC_00000146	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
chromosomal replication initiator protein	0	1	1	NA	K02313	GC_00000630	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	0	1	1	NA	K03060	GC_00000309	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L20	0	1	1	NA	K02887	GC_00000269	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
anthranilate synthase component II [EC:4.1.3.27]	0	1	1	NA	K01658	GC_00000497	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
integration host factor subunit beta	0	1	1	NA	K05788	GC_00000677	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	0	1	1	NA	K02500	GC_00000709, GC_00002896, GC_00004933, GC_00005245, GC_00005768, GC_00005777, GC_00006377, GC_00006766, GC_00007093, GC_00007359, GC_00008242	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	0	1	1	NA	K09773	GC_00000518	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	0	1	1	NA	K01704	GC_00000267	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
fumarate hydratase, class II [EC:4.2.1.2]	0	1	1	NA	K01679	GC_00000119	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
DNA repair protein RecO (recombination protein O)	0	1	1	NA	K03584	GC_00000770	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
FAD synthetase [EC:2.7.7.2]	0	1	1	NA	K00953	GC_00000552, GC_00004915, GC_00005795, GC_00006507	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
prephenate dehydratase [EC:4.2.1.51]	0	1	1	NA	K04518	GC_00000389	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
trk/ktr system potassium uptake protein	0	1	1	NA	K03498	GC_00000060, GC_00000517, GC_00000629	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
F-type H+-transporting ATPase subunit c	0	1	1	NA	K02110	GC_00000148	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
single-strand DNA-binding protein	0	1	1	NA	K03111	GC_00000212	1	1	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
